Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Bosna i Hercegovina,07/23/2021,82.6,54.2,68.8,,81.5,0,,,6.7,171.83,,10.2,19.3,61.61,Clear
Bosna i Hercegovina,07/24/2021,88,56.6,71.6,,85.2,0.04,,,11.1,181.33,,10,11.3,61.08,Rain
Bosna i Hercegovina,07/25/2021,93.4,60.8,76.5,,91.2,0,,,11.1,181.38,,10.2,25.2,49.76,Partially cloudy
Bosna i Hercegovina,07/26/2021,92.9,69.1,78.4,,90.1,0,,,11.2,153.08,,9.8,43.4,48.71,Partially cloudy
Bosna i Hercegovina,07/27/2021,98.6,64.6,79.6,,95.6,0,,,13.2,190.46,,10.1,9.5,48.75,Clear
Bosna i Hercegovina,07/28/2021,100.6,65.5,82.1,,96,0,,,6.8,186.96,,10.2,9.5,40.51,Clear
Bosna i Hercegovina,07/29/2021,100,67.1,81.9,,95.9,0,,,6.8,220.92,,9.9,7.9,42.32,Clear
Bosna i Hercegovina,07/30/2021,97,64.1,79.9,,93.8,0,,,6.7,192.54,,9.7,0,48.97,Clear
Bosna i Hercegovina,07/31/2021,97.7,64.1,80.6,,94.2,0,,,11.1,172.09,,10,11.2,46.21,Clear
Bosna i Hercegovina,08/01/2021,97.7,66.2,82.8,,94.1,0,,,13.4,181.46,35.8,10.5,19.4,39.22,Clear
Bosna i Hercegovina,08/02/2021,91.2,65,78.2,,89,0,,,12.6,238.96,,9.6,12.4,51.28,Clear
Bosna i Hercegovina,08/03/2021,90.1,58.1,72.9,,86.4,0,,,8.9,185.71,,9.7,18.2,53.41,Clear
Bosna i Hercegovina,08/04/2021,93.2,58.7,75.9,,89,0,,,8.9,168.5,,10.2,26,42.98,Partially cloudy
Bosna i Hercegovina,08/05/2021,83.5,65,76,,82.9,0.28,,,11.3,197.42,201.3,10.3,39.4,46.66,"Rain, Partially cloudy"
Bosna i Hercegovina,08/06/2021,81.7,56.6,68.5,,80.2,0.14,,,6.7,208,,10.2,32.8,60.57,"Rain, Partially cloudy"
Bosna i Hercegovina,08/07/2021,91,54.2,72.7,,87.5,0.02,,,8.9,196.63,,9.9,0.3,54.89,Rain
Bosna i Hercegovina,08/08/2021,97.7,61,78.9,,94.2,0,,,11,166.58,,10.2,1.2,42.92,Clear
Bosna i Hercegovina,08/09/2021,97.3,63.7,81,,94.9,0,,,6.7,206.71,23,10.6,13.7,46.58,Clear
Bosna i Hercegovina,08/10/2021,95.9,64.1,78.6,,93.5,0,,,8.8,178.08,,10.5,24.8,56.25,Clear
Bosna i Hercegovina,08/11/2021,92.3,67.2,77.2,,91.3,0,,,11.1,153.54,33.3,10.1,25.3,58.14,Partially cloudy
Bosna i Hercegovina,08/12/2021,92.5,61.4,75.9,,89.3,0,,,13.3,150.71,,10.1,15.5,50.21,Clear
Bosna i Hercegovina,08/13/2021,93.4,59.6,76.1,,89.3,0,,,11.1,139.67,,10.6,9.1,45.39,Clear
Bosna i Hercegovina,08/14/2021,95.2,60.5,76.8,,91.8,0,,,11.1,143.63,,10.2,4.1,43.85,Clear
Bosna i Hercegovina,08/15/2021,99.2,62.3,79.7,,95.7,0,,,11.1,162.42,17.2,10.2,11.1,42.55,Clear
Bosna i Hercegovina,08/16/2021,99.1,64.1,81.8,,94.6,0.01,,,11,176.92,,10.1,12,38.06,Rain
Bosna i Hercegovina,08/17/2021,82.9,62,73.1,,82.1,0.08,,,12.6,235.25,,9.4,38.3,54.92,"Rain, Partially cloudy"
Bosna i Hercegovina,08/18/2021,75.4,55.7,63.5,,,0.02,,,11.1,185.5,,9,51,64.24,"Rain, Partially cloudy"
Bosna i Hercegovina,08/19/2021,84.4,48.8,65.9,45.7,81.7,0.08,,,11.1,154.71,,10.2,1.7,51.22,Rain
Bosna i Hercegovina,08/20/2021,88.7,52.7,69.4,,85,0,,,8.9,169.79,,9.9,10.1,48.73,Clear
Bosna i Hercegovina,08/21/2021,88.3,55.6,71.1,,85,0,,,8.9,138.39,,10.3,14,48.96,Clear
Bosna i Hercegovina,08/22/2021,91.9,55.1,73.1,,87.6,0,,,8.9,188.91,,10.5,9.5,44.36,Clear
Bosna i Hercegovina,08/23/2021,93.7,58.7,74.2,,89.5,0,,,13.4,174.46,,10.2,10.5,47.13,Clear
Bosna i Hercegovina,08/24/2021,71.3,61.4,65.4,,,0.38,,,11.1,215.58,,8.3,62.8,81.8,"Rain, Partially cloudy"
Bosna i Hercegovina,08/25/2021,61.7,57.3,59.3,,,0.73,,,8.2,291.04,,5.5,70.7,93,"Rain, Partially cloudy"
Bosna i Hercegovina,08/26/2021,82,56.6,66.1,,80.8,0.03,,,5.3,250.88,,8.6,38.3,70.86,"Rain, Partially cloudy"
Bosna i Hercegovina,08/27/2021,61.9,55.1,58,,,0.13,,,5.7,211.54,,8.5,61.3,85.39,"Rain, Partially cloudy"
Bosna i Hercegovina,08/28/2021,59.6,53.4,56.1,,,0.49,,0,6.6,261.79,,5.2,67,95.02,"Rain, Partially cloudy"
Bosna i Hercegovina,08/29/2021,55.7,49.9,53.2,,,0.48,,,6.4,301.09,,6,65.7,94.45,"Rain, Partially cloudy"
Bosna i Hercegovina,08/30/2021,71.6,49.9,58.5,49.3,,0,,,4.7,221.82,,6.2,62.6,76.82,Partially cloudy
Bosna i Hercegovina,08/31/2021,75.1,49.9,59.6,48.3,,0,,,5.8,198.36,,6.2,49.9,83,Partially cloudy
Bosna i Hercegovina,09/01/2021,69.7,51.7,60,,,0,,,9.1,214.67,,5.7,66.2,77.73,Partially cloudy
Bosna i Hercegovina,09/02/2021,71.5,51.7,59.8,,,0,,,11.3,232.8,,6.2,52.8,70.15,Partially cloudy
Bosna i Hercegovina,09/03/2021,75.1,44.6,59.5,,,0,,,5.8,155.5,,6.2,25.1,73.31,Partially cloudy
Bosna i Hercegovina,09/04/2021,75.1,48,56.7,,,0,,,3.5,125.75,,6.2,25,80.3,Clear
